Date,Petrol,Diesel
04/01/2010,109.34,111.08
11/01/2010,110.72,112.59
18/01/2010,111.6,113.39
25/01/2010,111.87,113.71
01/02/2010,111.91,113.75
08/02/2010,111.95,113.79
15/02/2010,111.89,113.68
22/02/2010,111.56,112.76
01/03/2010,112.42,113.41
08/03/2010,113.71,114.68
15/03/2010,115.46,116.21
22/03/2010,116.59,117.28
29/03/2010,117.28,118.21
05/04/2010,119.29,120.09
12/04/2010,119.94,121.11
19/04/2010,120.55,121.74
26/04/2010,120.99,122.31
03/05/2010,121.18,122.68
10/05/2010,121.31,122.82
17/05/2010,121.3,122.83
24/05/2010,119.93,121.92
31/05/2010,118.54,120.76
07/06/2010,118.2,120.4
14/06/2010,117.87,120.21
21/06/2010,117.8,120.39
28/06/2010,117.88,120.38
05/07/2010,117.91,120.44
12/07/2010,117.39,119.78
19/07/2010,116.85,119.24
26/07/2010,116.61,119.03
02/08/2010,116.51,119.03
09/08/2010,116.35,118.94
16/08/2010,116.34,118.79
23/08/2010,115.64,117.9
30/08/2010,114.98,117.37
06/09/2010,114.59,117.09
13/09/2010,114.66,117.17
20/09/2010,115.06,117.72
27/09/2010,115.39,118.11
04/10/2010,116.01,118.97
11/10/2010,116.78,119.77
18/10/2010,117.28,120.6
25/10/2010,117.74,121.17
01/11/2010,118.18,121.66
08/11/2010,118.67,122.19
15/11/2010,118.8,122.51
22/11/2010,118.99,122.74
29/11/2010,119.21,123.2
06/12/2010,120.54,124.62
13/12/2010,121.68,125.77
20/12/2010,122.31,126.52
27/12/2010,123.44,127.68
03/01/2011,124.85,129.11
10/01/2011,127.4,131.6
17/01/2011,127.87,132.33
24/01/2011,128.35,133
31/01/2011,128.55,133.25
07/02/2011,128.64,133.47
14/02/2011,128.73,133.71
21/02/2011,128.92,134.04
28/02/2011,129.72,135.06
07/03/2011,131.28,136.9
14/03/2011,132.18,138.25
21/03/2011,133.11,139.53
28/03/2011,132.44,139.04
04/04/2011,132.81,139.46
11/04/2011,133.68,140.33
18/04/2011,135.06,141.34
25/04/2011,135.62,142.11
02/05/2011,136.29,142.53
09/05/2011,137.05,143.06
16/05/2011,136.4,141.5
23/05/2011,136.11,140.77
30/05/2011,135.57,139.81
06/06/2011,135.62,139.58
13/06/2011,135.86,139.77
20/06/2011,136.03,140.05
27/06/2011,134.86,138.77
04/07/2011,133.43,137.7
11/07/2011,134.18,138.4
18/07/2011,134.97,139.36
25/07/2011,135.66,139.95
01/08/2011,136.07,140.55
08/08/2011,136.46,140.84
15/08/2011,135.95,140.36
22/08/2011,134.56,139.04
29/08/2011,134.32,138.72
05/09/2011,134.62,138.96
12/09/2011,135,139.4
19/09/2011,135.4,139.86
26/09/2011,135.65,140.14
03/10/2011,135.02,139.77
10/10/2011,134.47,139.52
17/10/2011,134.49,139.73
24/10/2011,134.66,140.19
31/10/2011,134.73,140.27
07/11/2011,134.41,140.42
14/11/2011,133.68,140.53
21/11/2011,133.38,141.06
28/11/2011,133.17,141.1
05/12/2011,132.78,140.99
12/12/2011,132.53,140.95
19/12/2011,132.49,140.93
26/12/2011,132.41,140.77
02/01/2012,132.4,140.84
09/01/2012,132.68,141
16/01/2012,133.29,141.69
23/01/2012,133.72,142.06
30/01/2012,134.1,142.45
06/02/2012,134.25,142.24
13/02/2012,134.9,142.83
20/02/2012,135.21,143.15
27/02/2012,136.21,143.92
05/03/2012,137.3,144.71
12/03/2012,137.9,145.15
19/03/2012,138.96,146.16
26/03/2012,139.48,146.56
02/04/2012,140.99,147.68
09/04/2012,141.97,148
16/04/2012,142.17,148.04
23/04/2012,141.76,147.96
30/04/2012,141,147.05
07/05/2012,140.14,146.4
14/05/2012,138.29,144.52
21/05/2012,135.77,141.75
28/05/2012,134.37,140.49
04/06/2012,134.06,139.96
11/06/2012,133.67,139.58
18/06/2012,131.99,137.71
25/06/2012,131.55,137.2
02/07/2012,130.5,135.91
09/07/2012,131.06,136.44
16/07/2012,131.49,136.85
23/07/2012,132.21,137.72
30/07/2012,132.78,138.25
06/08/2012,133.39,138.79
13/08/2012,134.27,139.46
20/08/2012,135.72,140.79
27/08/2012,137.1,142.17
03/09/2012,138.03,142.87
10/09/2012,138.91,143.66
17/09/2012,139.42,144.18
24/09/2012,139.54,144.36
01/10/2012,138.43,143.28
08/10/2012,138.24,143.05
15/10/2012,138.35,143.23
22/10/2012,138.29,143.23
29/10/2012,136.98,143
05/11/2012,136.43,142.75
12/11/2012,135.09,141.74
19/11/2012,134.56,141.33
26/11/2012,134.38,141.13
03/12/2012,133.05,140.91
10/12/2012,132.55,140.76
17/12/2012,131.98,140.08
24/12/2012,131.95,139.84
31/12/2012,131.92,139.81
07/01/2013,131.86,139.75
14/01/2013,132,139.68
21/01/2013,132.21,139.95
28/01/2013,132.95,140.77
04/02/2013,134.38,141.91
11/02/2013,135.56,143.03
18/02/2013,136.86,144.17
25/02/2013,138.5,145.55
04/03/2013,139.47,146.34
11/03/2013,140,146.71
18/03/2013,137.58,144.84
25/03/2013,137.09,144.33
01/04/2013,137.3,143.51
08/04/2013,137.31,143.13
15/04/2013,137.11,141.67
22/04/2013,135.68,140.64
29/04/2013,134.66,139.59
06/05/2013,133.42,138.54
13/05/2013,133.12,138.27
20/05/2013,133.17,138.42
27/05/2013,133.64,138.82
03/06/2013,134.04,139.17
10/06/2013,134.3,139.43
17/06/2013,134.46,139.54
24/06/2013,134.52,139.64
01/07/2013,133.44,138.51
08/07/2013,133.77,138.73
15/07/2013,134.95,139.84
22/07/2013,136.04,140.72
29/07/2013,136.87,141.44
05/08/2013,137.02,141.67
12/08/2013,137.13,141.82
19/08/2013,137,141.73
28/08/2013,136.83,141.78
02/09/2013,137.14,142.09
09/09/2013,137.6,142.67
16/09/2013,137.47,142.52
23/09/2013,136.95,142.09
30/09/2013,133.4,140.19
07/10/2013,131.62,138.83
14/10/2013,131.67,139.15
21/10/2013,131.53,138.99
28/10/2013,131.42,138.88
04/11/2013,129.92,137.51
11/11/2013,129.71,137.32
18/11/2013,129.89,137.47
25/11/2013,130.03,137.72
02/12/2013,130.25,137.9
09/12/2013,130.76,138.55
16/12/2013,130.96,138.84
23/12/2013,130.05,138.17
30/12/2013,130.03,137.98
06/01/2014,130.26,138.11
13/01/2014,130.36,138.34
20/01/2014,129.37,137.23
27/01/2014,129.02,136.94
03/02/2014,128.85,136.84
10/02/2014,128.81,136.84
17/02/2014,129.16,136.81
24/02/2014,129.2,136.95
03/03/2014,129.36,137.15
10/03/2014,129.39,137.08
17/03/2014,128.76,136.27
24/03/2014,128.57,136
31/03/2014,128.76,135.89
07/04/2014,128.71,136.01
14/04/2014,128.89,136.05
21/04/2014,129.11,136.12
28/04/2014,129.09,135.93
05/05/2014,129.27,136.16
12/05/2014,129.5,136.37
19/05/2014,129.42,136.17
26/05/2014,129.51,136.36
02/06/2014,129.63,136.38
09/06/2014,129.69,136.04
16/06/2014,129.88,135.54
