Date,Bicycles,Stations,Registration,Sponsor,Fee,Weekly_Fee,Mobike,Ofo,Obike,Urbo
30/07/2010,5000,315,Yes,Barclays,1,y,0,0,0,0
03/12/2010,5000,315,No,Barclays,1,y,0,0,,
01/01/2011,,,,,,,,,,
01/03/2012,7300,,No,Barclays,1,y,0,0,,
01/01/2013,8100,570,No,Barclays,2,y,0,0,,
01/12/2013,10100,720,No,Barclays,2,y,0,0,,
01/01/2014,,,,,,,,,,
01/01/2015,,,No,Santander,2,n,0,0,,
21/01/2016,11500,761,No,Santander,2,n,0,0,,
07/07/2017,11500,761,No,Santander,2,n,0,0,400,
01/09/2017,,,No,Santander,2,n,750,0,,
01/02/2018,11700,800,No,Santander,2,n,,1250,,
01/03/2018,,800,No,Santander,2,n,,,,125
13/06/2018,,,No,Santander,2,n,500,3000,,
01/08/2018,13600,839,No,Santander,2,n,,,,
01/11/2018,13600,839,No,Santander,2,n,500,3000,,
