BPID,lat,lon,NbDocks,Installed,commonName
1,51.529163,-0.10997000000000001,19,2010-07-12 15:08:00,"River Street , Clerkenwell"
2,51.499606,-0.197574,37,2010-07-08 10:43:00,"Phillimore Gardens, Kensington"
3,51.521283,-0.084605,32,2010-07-04 10:46:00,"Christopher Street, Liverpool Street"
4,51.530059,-0.120973,23,2010-07-04 10:58:00,"St. Chad's Street, King's Cross"
5,51.49313,-0.156876,27,2010-07-04 11:04:00,"Sedding Street, Sloane Square"
6,51.518117,-0.144228,18,2010-07-04 11:08:00,"Broadcasting House, Marylebone"
7,51.5343,-0.168074,16,2010-07-04 11:10:00,"Charlbert Street, St. John's Wood"
8,51.529857,-0.18348599999999998,39,2018-10-31 11:16:00,"Maida Vale, Maida Vale"
9,51.507385,-0.09644000000000001,19,2010-07-04 11:19:00,"New Globe Walk, Bankside"
10,51.505974,-0.09275399999999999,18,2010-07-04 11:21:00,"Park Street, Bankside"
11,51.523951,-0.122502,24,2010-07-05 14:34:00,"Brunswick Square, Bloomsbury"
12,51.52168,-0.130431,49,2010-07-05 14:37:00,"Malet Street, Bloomsbury"
13,51.519914,-0.136039,21,2010-07-05 14:40:00,"Scala Street, Fitzrovia"
14,51.529943,-0.12361599999999999,48,2010-07-05 14:44:00,"Belgrove Street , King's Cross"
15,51.517727,-0.127854,26,2010-07-05 14:47:00,"Great Russell Street, Bloomsbury"
16,51.526357,-0.125979,22,2010-07-05 14:50:00,"Cartwright Gardens , Bloomsbury"
17,51.521661,-0.10900599999999999,26,2010-07-06 13:42:00,"Hatton Wall, Holborn"
18,51.51477,-0.122219,27,2010-07-06 14:25:00,"Drury Lane, Covent Garden"
19,51.52505,-0.131161,30,2010-07-06 14:32:00,"Taviton Street, Bloomsbury"
21,51.530078,-0.138846,16,2010-07-06 14:49:00,"Hampstead Road (Cartmel), Euston"
22,51.522264,-0.114079,19,2010-07-06 15:08:00,"Northington Street , Holborn"
23,51.519435,-0.11912299999999999,16,2010-07-06 15:15:00,"Red Lion Square, Holborn"
24,51.51908,-0.124678,35,2010-07-06 15:29:00,"British Museum, Bloomsbury"
25,51.528833,-0.13225,31,2010-07-06 16:20:00,"Doric Way , Somers Town"
26,51.52728,-0.118295,21,2010-07-06 16:36:00,"Ampton Street , Clerkenwell"
27,51.513821,-0.107927,33,2010-07-07 10:56:00,"Bouverie Street, Temple"
28,51.523518,-0.143613,19,2010-07-07 11:01:00,"Bolsover Street, Fitzrovia"
29,51.513735,-0.193487,22,2010-07-07 11:13:00,"Hereford Road, Bayswater"
30,51.529154,-0.09342099999999999,24,2010-07-07 11:17:00,"Windsor Terrace, Hoxton"
31,51.529537,-0.083353,36,2010-07-07 11:20:00,"Fanshaw Street, Hoxton"
32,51.524696,-0.084439,43,2010-07-07 12:45:00,"Leonard Circus , Shoreditch"
33,51.5156,-0.070056,18,2010-07-07 12:49:00,"Central House, Aldgate"
34,51.534123,-0.129386,16,2010-07-07 12:51:00,"Pancras Road, King's Cross"
36,51.501737,-0.18498,28,2010-07-07 16:25:00,"De Vere Gardens, Kensington"
37,51.491593,-0.19236899999999998,17,2010-07-07 16:27:00,"Penywern Road, Earl's Court"
38,51.497387,-0.197245,17,2010-07-08 10:28:00,"Abingdon Villas, Kensington"
39,51.526377,-0.07813,41,2010-07-08 15:09:00,"Shoreditch High Street, Shoreditch"
40,51.52127,-0.07557799999999999,16,2010-07-08 15:13:00,"Commercial Street, Shoreditch"
41,51.520955,-0.083493,24,2010-07-08 15:18:00,"Pindar Street, Liverpool Street"
42,51.530991,-0.093903,28,2010-07-08 15:25:00,"Wenlock Road , Hoxton"
43,51.52026,-0.157183,18,2010-07-09 15:02:00,"Crawford Street, Marylebone"
44,51.510736,-0.144165,21,2010-07-09 15:05:00,"Bruton Street, Mayfair"
45,51.522511,-0.162298,26,2010-07-09 16:02:00,"Boston Place, Marylebone"
46,51.507131,-0.06691000000000001,16,2010-07-09 16:10:00,"Nesham Street, Wapping"
47,51.523344,-0.18384599999999998,19,2010-07-10 08:06:00,"Warwick Avenue Station, Maida Vale"
48,51.512484,-0.09914099999999999,25,2010-07-10 08:11:00,"Godliman Street, St. Paul's"
49,51.507069,-0.145904,16,2010-07-10 08:19:00,"Curzon Street, Mayfair"
50,51.528673,-0.087459,27,2010-07-10 08:24:00,"East Road, Hoxton"
51,51.526717,-0.104298,29,2010-07-10 08:29:00,"Finsbury Library , Finsbury"
52,51.522954,-0.09493399999999999,18,2010-07-10 08:34:00,"Roscoe Street, St. Luke's"
53,51.509992,-0.14349499999999998,18,2010-07-10 09:03:00,"Grafton Street, Mayfair"
54,51.521747,-0.09447499999999999,27,2010-07-10 12:59:00,"Golden Lane, Barbican"
55,51.517075,-0.086685,33,2010-07-10 13:03:00,"Finsbury Circus, Liverpool Street"
56,51.520583,-0.154701,16,2010-07-10 13:07:00,"Paddington Street, Marylebone"
57,51.523346,-0.12020199999999999,32,2010-07-10 13:11:00,"Guilford Street , Bloomsbury"
58,51.524526,-0.079248,20,2010-07-10 13:15:00,"New Inn Yard, Shoreditch"
60,51.526448,-0.17219,18,2010-07-10 13:39:00,"Lisson Grove, St. John's Wood"
61,51.497382,-0.089446,33,2010-07-10 14:57:00,"Great Dover Street, The Borough"
62,51.490757,-0.106323,24,2010-07-10 14:59:00,"Cotton Garden Estate, Kennington"
63,51.53089,-0.089782,27,2010-07-10 15:02:00,"Murray Grove , Hoxton"
64,51.509462,-0.124749,26,2010-07-10 15:05:00,"William IV Street, Strand"
65,51.525227,-0.135188,17,2010-07-11 09:31:00,"Gower Place , Euston"
66,51.51795,-0.10865699999999999,40,2010-07-11 10:48:00,"Holborn Circus, Holborn"
67,51.518825,-0.108028,28,2010-07-11 11:24:00,"Hatton Garden, Holborn"
68,51.520596,-0.116688,26,2010-07-11 14:04:00,"Theobald's Road , Holborn"
69,51.526236,-0.134407,24,2010-07-11 15:19:00,"Euston Road, Euston"
70,51.53136,-0.11706899999999999,24,2010-07-11 15:49:00,"Calshot Street , King's Cross"
71,51.515418,-0.09885000000000001,34,2010-07-12 08:55:00,"Newgate Street , St. Paul's"
72,51.52352,-0.10834,16,2010-07-12 12:01:00,"Farringdon Lane, Clerkenwell"
73,51.525726,-0.088486,37,2010-07-12 13:24:00,"Old Street Station, St. Luke's"
74,51.485917,-0.124469,17,2010-07-12 13:26:00,"Vauxhall Cross, Vauxhall"
75,51.532199,-0.10548,19,2010-07-12 14:33:00,"Torrens Street, Angel"
76,51.525595,-0.144083,21,2010-07-12 14:56:00,"Longford Street, The Regent's Park"
77,51.523418,-0.124121,26,2010-07-12 15:01:00,"Russell Square Station, Bloomsbury"
78,51.524868,-0.099489,17,2010-07-12 15:28:00,"Sadlers Sports Centre, Finsbury"
79,51.511726,-0.113855,18,2017-10-26 11:46:00,"Arundel Street, Temple"
80,51.500693,-0.102091,45,2010-07-12 16:34:00,"Webber Street , Southwark"
81,51.520253,-0.14132699999999998,19,2010-07-13 09:23:00,"Great Titchfield Street, Fitzrovia"
82,51.514274,-0.111257,15,2010-07-13 10:08:00,"Chancery Lane, Holborn"
83,51.509639,-0.13151000000000002,21,2010-07-13 10:10:00,"Panton Street, West End"
84,51.515937,-0.11177799999999999,25,2010-07-13 11:24:00,"Breams Buildings, Holborn"
85,51.500647,-0.0786,41,2010-07-13 13:01:00,"Tanner Street, Bermondsey"
86,51.489479,-0.115156,24,2010-07-13 13:19:00,"Sancroft Street, Vauxhall"
87,51.516468,-0.07968399999999999,16,2010-07-13 13:28:00,"Devonshire Square, Liverpool Street"
88,51.518587,-0.132053,25,2010-07-13 13:38:00,"Bayley Street , Bloomsbury"
89,51.52625,-0.123509,19,2010-07-13 13:56:00,"Tavistock Place, Bloomsbury"
90,51.533019,-0.139174,27,2010-07-13 14:07:00,"Harrington Square 1, Camden Town"
91,51.493686,-0.111014,20,2010-07-13 15:59:00,"Walnut Tree Walk, Vauxhall"
92,51.498898,-0.10044,41,2010-07-13 16:04:00,"Borough Road, Elephant & Castle"
93,51.534408,-0.109025,37,2010-07-13 16:16:00,"Cloudesley Road, Angel"
94,51.495061,-0.085814,28,2010-07-13 16:27:00,"Bricklayers Arms, Borough"
95,51.520841,-0.09734000000000001,15,2010-07-14 08:36:00,"Aldersgate Street, Barbican"
96,51.53095,-0.07850499999999999,26,2010-07-14 08:43:00,"Falkirk Street, Hoxton"
97,51.497924,-0.183834,18,2010-07-14 08:53:00,"Gloucester Road (North), Kensington"
98,51.525542,-0.138231,54,2010-07-14 09:18:00,"Hampstead Road, Euston"
99,51.514577,-0.158264,16,2010-07-14 09:28:00,"Old Quebec Street, Marylebone"
100,51.490435,-0.122806,24,2010-07-14 09:31:00,"Albert Embankment, Vauxhall"
101,51.511553,-0.09294000000000001,22,2010-07-14 10:18:00,"Queen Street 1, Bank"
102,51.513406,-0.076793,17,2010-07-14 10:21:00,"Jewry Street, Aldgate"
103,51.504723,-0.192538,18,2010-07-14 10:32:00,"Vicarage Gate, Kensington"
104,51.511594,-0.077121,34,2010-07-14 10:36:00,"Crosswall, Tower"
105,51.515529,-0.19024000000000002,26,2010-07-14 11:02:00,"Westbourne Grove, Bayswater"
106,51.514105,-0.147301,21,2010-07-14 11:28:00,"Woodstock Street, Mayfair"
