Date,Light,Dark
2017-01-01,07:26,16:43
2017-01-02,07:26,16:44
2017-01-03,07:26,16:45
2017-01-04,07:26,16:46
2017-01-05,07:26,16:47
2017-01-06,07:26,16:48
2017-01-07,07:25,16:49
2017-01-08,07:25,16:50
2017-01-09,07:24,16:52
2017-01-10,07:24,16:53
2017-01-11,07:23,16:54
2017-01-12,07:23,16:56
2017-01-13,07:22,16:57
2017-01-14,07:22,16:58
2017-01-15,07:21,17:00
2017-01-16,07:20,17:01
2017-01-17,07:19,17:03
2017-01-18,07:19,17:04
2017-01-19,07:18,17:06
2017-01-20,07:17,17:07
2017-01-21,07:16,17:09
2017-01-22,07:15,17:10
2017-01-23,07:14,17:12
2017-01-24,07:13,17:13
2017-01-25,07:12,17:15
2017-01-26,07:10,17:17
2017-01-27,07:09,17:18
2017-01-28,07:08,17:20
2017-01-29,07:07,17:22
2017-01-30,07:05,17:23
2017-01-31,07:04,17:25
2017-02-01,07:03,17:27
2017-02-02,07:01,17:28
2017-02-03,07:00,17:30
2017-02-04,06:58,17:32
2017-02-05,06:57,17:33
2017-02-06,06:55,17:35
2017-02-07,06:53,17:37
2017-02-08,06:52,17:39
2017-02-09,06:50,17:40
2017-02-10,06:49,17:42
2017-02-11,06:47,17:44
2017-02-12,06:45,17:45
2017-02-13,06:43,17:47
2017-02-14,06:42,17:49
2017-02-15,06:40,17:51
2017-02-16,06:38,17:52
2017-02-17,06:36,17:54
2017-02-18,06:34,17:56
2017-02-19,06:32,17:58
2017-02-20,06:30,17:59
2017-02-21,06:28,18:01
2017-02-22,06:26,18:03
2017-02-23,06:24,18:04
2017-02-24,06:22,18:06
2017-02-25,06:20,18:08
2017-02-26,06:18,18:10
2017-02-27,06:16,18:11
2017-02-28,06:14,18:13
2017-03-01,06:12,18:15
2017-03-02,06:10,18:16
2017-03-03,06:08,18:18
2017-03-04,06:06,18:20
2017-03-05,06:04,18:22
2017-03-06,06:01,18:23
2017-03-07,05:59,18:25
2017-03-08,05:57,18:27
2017-03-09,05:55,18:28
2017-03-10,05:53,18:30
2017-03-11,05:50,18:32
2017-03-12,05:48,18:34
2017-03-13,05:46,18:35
2017-03-14,05:44,18:37
2017-03-15,05:41,18:39
2017-03-16,05:39,18:40
2017-03-17,05:37,18:42
2017-03-18,05:34,18:44
2017-03-19,05:32,18:46
2017-03-20,05:30,18:47
2017-03-21,05:28,18:49
2017-03-22,05:25,18:51
2017-03-23,05:23,18:53
2017-03-24,05:21,18:54
2017-03-25,05:18,18:56
2017-03-26,06:16,19:58
2017-03-27,06:14,19:59
2017-03-28,06:11,20:01
2017-03-29,06:09,20:03
2017-03-30,06:07,20:05
2017-03-31,06:04,20:06
2017-04-01,06:02,20:08
2017-04-02,06:00,20:10
2017-04-03,05:57,20:12
2017-04-04,05:55,20:13
2017-04-05,05:53,20:15
2017-04-06,05:50,20:17
2017-04-07,05:48,20:19
2017-04-08,05:46,20:21
2017-04-09,05:43,20:22
2017-04-10,05:41,20:24
2017-04-11,05:39,20:26
2017-04-12,05:36,20:28
2017-04-13,05:34,20:30
2017-04-14,05:32,20:31
2017-04-15,05:29,20:33
2017-04-16,05:27,20:35
2017-04-17,05:25,20:37
2017-04-18,05:23,20:39
2017-04-19,05:20,20:40
2017-04-20,05:18,20:42
2017-04-21,05:16,20:44
2017-04-22,05:14,20:46
2017-04-23,05:11,20:48
2017-04-24,05:09,20:50
2017-04-25,05:07,20:52
2017-04-26,05:05,20:53
2017-04-27,05:03,20:55
2017-04-28,05:00,20:57
2017-04-29,04:58,20:59
2017-04-30,04:56,21:01
2017-05-01,04:54,21:03
2017-05-02,04:52,21:04
2017-05-03,04:50,21:06
2017-05-04,04:48,21:08
2017-05-05,04:46,21:10
2017-05-06,04:44,21:12
2017-05-07,04:42,21:14
2017-05-08,04:40,21:15
2017-05-09,04:38,21:17
2017-05-10,04:36,21:19
2017-05-11,04:34,21:21
2017-05-12,04:33,21:23
2017-05-13,04:31,21:24
2017-05-14,04:29,21:26
2017-05-15,04:27,21:28
2017-05-16,04:26,21:30
2017-05-17,04:24,21:31
2017-05-18,04:22,21:33
2017-05-19,04:21,21:35
2017-05-20,04:19,21:36
2017-05-21,04:18,21:38
2017-05-22,04:16,21:40
2017-05-23,04:15,21:41
2017-05-24,04:13,21:43
2017-05-25,04:12,21:44
2017-05-26,04:11,21:46
2017-05-27,04:09,21:47
2017-05-28,04:08,21:49
2017-05-29,04:07,21:50
2017-05-30,04:06,21:52
2017-05-31,04:05,21:53
2017-06-01,04:04,21:54
2017-06-02,04:03,21:55
2017-06-03,04:02,21:57
2017-06-04,04:01,21:58
2017-06-05,04:00,21:59
2017-06-06,03:59,22:00
2017-06-07,03:59,22:01
2017-06-08,03:58,22:02
2017-06-09,03:58,22:03
2017-06-10,03:57,22:04
2017-06-11,03:57,22:05
2017-06-12,03:56,22:05
2017-06-13,03:56,22:06
2017-06-14,03:56,22:07
2017-06-15,03:55,22:07
2017-06-16,03:55,22:08
2017-06-17,03:55,22:08
2017-06-18,03:55,22:09
2017-06-19,03:55,22:09
2017-06-20,03:55,22:09
2017-06-21,03:56,22:09
2017-06-22,03:56,22:10
2017-06-23,03:56,22:10
2017-06-24,03:56,22:10
2017-06-25,03:57,22:10
2017-06-26,03:57,22:09
2017-06-27,03:58,22:09
2017-06-28,03:59,22:09
2017-06-29,03:59,22:09
2017-06-30,04:00,22:08
2017-07-01,04:01,22:08
2017-07-02,04:02,22:07
2017-07-03,04:02,22:07
2017-07-04,04:03,22:06
2017-07-05,04:04,22:06
2017-07-06,04:05,22:05
2017-07-07,04:06,22:04
2017-07-08,04:08,22:03
2017-07-09,04:09,22:02
2017-07-10,04:10,22:01
2017-07-11,04:11,22:00
2017-07-12,04:12,21:59
2017-07-13,04:14,21:58
2017-07-14,04:15,21:57
2017-07-15,04:17,21:56
2017-07-16,04:18,21:54
2017-07-17,04:19,21:53
2017-07-18,04:21,21:52
2017-07-19,04:22,21:50
2017-07-20,04:24,21:49
2017-07-21,04:26,21:47
2017-07-22,04:27,21:46
2017-07-23,04:29,21:44
2017-07-24,04:30,21:43
2017-07-25,04:32,21:41
2017-07-26,04:34,21:39
2017-07-27,04:35,21:38
2017-07-28,04:37,21:36
2017-07-29,04:39,21:34
2017-07-30,04:40,21:32
2017-07-31,04:42,21:31
2017-08-01,04:44,21:29
2017-08-02,04:46,21:27
2017-08-03,04:47,21:25
2017-08-04,04:49,21:23
2017-08-05,04:51,21:21
2017-08-06,04:53,21:19
2017-08-07,04:54,21:17
2017-08-08,04:56,21:15
2017-08-09,04:58,21:13
2017-08-10,05:00,21:11
2017-08-11,05:02,21:09
2017-08-12,05:03,21:07
2017-08-13,05:05,21:04
2017-08-14,05:07,21:02
2017-08-15,05:09,21:00
