Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Acton Town,9531.0,6716,4744,9382.0,6617,4785,6.040516,2017,5730.0,5701.0,0.37671368310044817,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,9994.0,7082,4955,9581.0,6878,5151,6.274649,2016,6018.5,6014.5,0.38069476082004555,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,9861.0,7278,5000,9540.0,6919,4972,6.235045,2015,6139.0,5945.5,0.3838115958139461,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,9379.0,7119,4824,9418.0,6863,4944,6.059017,2014,5971.5,5903.5,0.38716092853416795,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,9179.0,6562,4359,8892.0,6092,4438,5.748994,2013,5460.5,5265.0,0.3724584584932197,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,8905.0,6408,4360,8619.0,5960,4254,5.584934,2012,5384.0,5107.0,0.3744779582366589,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,8702.0,6326,4216,8392.0,5976,4223,5.462387,2011,5271.0,5099.5,0.37759653370714924,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Acton Town,8669.0,5912,4184,8403.0,5877,4224,5.428316,2010,5048.0,5050.5,0.37167148193813143,51.50307144,-0.280302701,3,3,"{'Piccadilly', 'District'}"
Aldgate,15080.0,4397,3261,16023.0,5909,4230,8.84694,2017,3829.0,5069.5,0.22245415796907617,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,14212.0,4102,3058,13745.0,5728,4149,8.009494,2016,3580.0,4938.5,0.2335403215857219,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,13645.0,3700,2911,12787.0,4796,3847,7.52781,2015,3305.5,4321.5,0.2239349364338354,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,12779.0,2985,2429,12967.0,3951,3455,7.221566,2014,2707.0,3703.0,0.19934071401915662,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,12509.0,2826,2266,12060.0,3713,3187,6.877712,2013,2546.0,3450.0,0.19617209226239163,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,12031.0,2384,1946,11942.0,3471,2760,6.647283,2012,2165.0,3115.5,0.18050831524432973,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
Aldgate,11319.0,2358,2251,10919.0,3676,2758,6.235513,2011,2304.5,3217.0,0.1989048794106522,51.51434238,-0.075626913,1,1,"{'Circle', 'Metropolitan'}"
