Quarter,All aged 16 to 64,Total in employment,Employment rate (%),Prev_Month,Year
Mar-May 1992,4467462,2965776,66.4,Mar,1992
Apr-Jun 1992,4466447,2955584,66.2,Apr,1992
May-Jul 1992,4465437,2959925,66.3,May,1992
Jun-Aug 1992,4465157,2966424,66.4,Jun,1992
Jul-Sep 1992,4465629,2981904,66.8,Jul,1992
Aug-Oct 1992,4465812,2985082,66.8,Aug,1992
Sep-Nov 1992,4465707,2996725,67.1,Sep,1992
Oct-Dec 1992,4465873,3001576,67.2,Oct,1992
Nov-Jan 1993,4465823,2978539,66.7,Nov,1993
Dec-Feb 1993,4466095,2967846,66.5,Dec,1993
Jan-Mar 1993,4466181,2953733,66.1,Jan,1993
Feb-Apr 1993,4466145,2943990,65.9,Feb,1993
Mar-May 1993,4466264,2950296,66.1,Mar,1993
Apr-Jun 1993,4465985,2937195,65.8,Apr,1993
May-Jul 1993,4466656,2934211,65.7,May,1993
Jun-Aug 1993,4467927,2923043,65.4,Jun,1993
Jul-Sep 1993,4469146,2902219,64.9,Jul,1993
Aug-Oct 1993,4470450,2889164,64.6,Aug,1993
Sep-Nov 1993,4471770,2891052,64.7,Sep,1993
Oct-Dec 1993,4473255,2891780,64.6,Oct,1993
Nov-Jan 1994,4474492,2892591,64.6,Nov,1994
Dec-Feb 1994,4475793,2891261,64.6,Dec,1994
Jan-Mar 1994,4477068,2900275,64.8,Jan,1994
Feb-Apr 1994,4478460,2901412,64.8,Feb,1994
Mar-May 1994,4479798,2903654,64.8,Mar,1994
Apr-Jun 1994,4480938,2924188,65.3,Apr,1994
May-Jul 1994,4482499,2933376,65.4,May,1994
Jun-Aug 1994,4484833,2940422,65.6,Jun,1994
Jul-Sep 1994,4487440,2957075,65.9,Jul,1994
Aug-Oct 1994,4490074,2955744,65.8,Aug,1994
Sep-Nov 1994,4492830,2965931,66.0,Sep,1994
Oct-Dec 1994,4495167,2963373,65.9,Oct,1994
Nov-Jan 1995,4497864,2949426,65.6,Nov,1995
Dec-Feb 1995,4500184,2976745,66.1,Dec,1995
Jan-Mar 1995,4503013,2984524,66.3,Jan,1995
Feb-Apr 1995,4505433,2978405,66.1,Feb,1995
Mar-May 1995,4508167,2981313,66.1,Mar,1995
Apr-Jun 1995,4510801,2983747,66.1,Apr,1995
May-Jul 1995,4513304,2995382,66.4,May,1995
Jun-Aug 1995,4517216,3004843,66.5,Jun,1995
Jul-Sep 1995,4521683,3018614,66.8,Jul,1995
Aug-Oct 1995,4526007,3025718,66.9,Aug,1995
Sep-Nov 1995,4530116,3019824,66.7,Sep,1995
Oct-Dec 1995,4534556,3027809,66.8,Oct,1995
Nov-Jan 1996,4538677,3035981,66.9,Nov,1996
Dec-Feb 1996,4542921,3035908,66.8,Dec,1996
Jan-Mar 1996,4547058,3034796,66.7,Jan,1996
Feb-Apr 1996,4551271,3038442,66.8,Feb,1996
Mar-May 1996,4555426,3039326,66.7,Mar,1996
Apr-Jun 1996,4559562,3027005,66.4,Apr,1996
May-Jul 1996,4564071,3021635,66.2,May,1996
Jun-Aug 1996,4567164,3048586,66.8,Jun,1996
Jul-Sep 1996,4570228,3046322,66.7,Jul,1996
Aug-Oct 1996,4573074,3050582,66.7,Aug,1996
Sep-Nov 1996,4576419,3070271,67.1,Sep,1996
Oct-Dec 1996,4579452,3073978,67.1,Oct,1996
Nov-Jan 1997,4582517,3088455,67.4,Nov,1997
Dec-Feb 1997,4585725,3100934,67.6,Dec,1997
Jan-Mar 1997,4588853,3121612,68.0,Jan,1997
Feb-Apr 1997,4591515,3129812,68.2,Feb,1997
Mar-May 1997,4594585,3163364,68.8,Mar,1997
Apr-Jun 1997,4597961,3175205,69.1,Apr,1997
May-Jul 1997,4601024,3168436,68.9,May,1997
